genre	filename	year	id	score	sentence1	sentence2
Con-captions	Const	2024	0001	5.000	간이 콘크리트	소규모의 문, 담장 등 거주의 용도로 사용하지 않는 경미한 구조물 및 경미한 기계받침 등으로 사용하는 콘크리트
Con-captions	Const	2024	0002	5.000	고내구성 콘크리트	특히 높은 내구성을 필요로 하는 철근콘크리트조 건축물에 사용하는 콘크리트
Con-captions	Const	2024	0003	5.000	동결융해작용을 받는 콘크리트	건축물에서 동결융해작용에 의해 동해를 일으킬 우려가 있는 부분의 콘크리트
Con-captions	Const	2024	0004	5.000	무근 콘크리트	철근으로 보강하지 않는 콘크리트
Con-captions	Const	2024	0005	5.000	발주자 대리인	건축물의 건축·대수선·용도변경, 건축설비의 설치 또는 공작물의 축조에 관한 공사에서 발주자의 권한을 위임받은 자로서 그 권한의 범위를 서면으로 위임받은 자
Con-captions	Const	2024	0006	5.000	원자력발전소 콘크리트	원자력 발전소 부지 내에 건설되는 철근콘크리트조 건축물 및 관련 시설물에 사용하는 콘크리트
Con-captions	Const	2024	0007	5.000	동결융해작용	물질 내부에 존재하는 수분의 반복적인 동결과 융해로 인해 토양이나 암석에서 발생하는 다양한 효과 
Con-captions	Const	2024	0008	5.000	경사 서포트(prop support)	벽체나 기둥의 조립에 사용되는 강관 형상의 제품으로, 프리캐스트 콘크리트 제품 측면에 경사지게 설치하고 조립 정밀도를 확보하기 위해 미세 조정이 가능한 서포트
Con-captions	Const	2024	0009	5.000	고무지수재(rubber strip)	고무 아스팔트 재질을 가지며 프리캐스트 벽 부재에 의해 가압, 압밀되어 지수효과를 가지는 실링재
Con-captions	Const	2024	0010	5.000	고정철물(hardware)	철근콘크리트 및 프리캐스트 콘크리트 제품의 접합, 이음 및 매설 등에 사용되는 철물의 총칭
Con-captions	Const	2024	0011	5.000	공작도면(shop drawing)	프리캐스트 콘크리트 제품과 부속 연결철물, 프리캐스트 콘크리트의 생산과 현장 조립 등을 나타내는 도면
Con-captions	Const	2024	0012	5.000	공장조립(fabrication)	공장에서 제품의 조립이나 시공에 필요한 매설철물 등을 이용하여 가공 조립하는 것
Con-captions	Const	2024	0013	5.000	기계적 이음(mechanical connection)	철근을 직접 서로 연결하는 방법으로 나사 커플러 방식, 슬리브 내부충전방식 등이 있음
Con-captions	Const	2024	0014	5.000	깔모르타르(pad mortar)	상부 프리캐스트 콘크리트 제품의 높낮이를 조정하기 위해서 설치하는 모르타르로서 상부 프리캐스트 콘크리트 제품에 발생하는 축응력 등을 하부로 전달하여 구조내력상 중요한 역할을 함.
Con-captions	Const	2024	0015	5.000	비활동성 접합부(non working joint)	방수의 관점에서, 지진이 발생할 때 층간 변위 등에 의해 줄눈에 상대 변형이 발생하여 줄눈의 폭이 늘어나거나 줄어들지 않는 접합부
Con-captions	Const	2024	0016	5.000	설계기준압축강도 (specified compressive strength)	철근콘크리트 부재를 설계할 때 기준이 되는 콘크리트의 압축강도
Con-captions	Const	2024	0017	5.000	성형(molding)	굳지 않은 콘크리트를 거푸집에 채워 넣고 다져서 프리캐스트 콘크리트의 모양을 만드는 것
Con-captions	Const	2024	0018	5.000	수직접합부(vertical joint)	동일 층에 있어서 인접하는 벽판 상호간을 연결하는 수직방향의 접합부
Con-captions	Const	2024	0019	5.000	수평접합부(horizontal joint)	상하층의 내력벽 상호간, 내력벽과 바닥판, 동일층의 바닥판 상호간을 연결하는 수평방향의 접합부
Con-captions	Const	2024	0020	5.000	슬리브 이음(sleeve connection)	속이 빈 강재 원통관 속에 돌출된 철근을 위치시키고 무수축 그라우트를 주입하여 두 철근을 연결하는 기계적 이음 방법
Con-captions	Const	2024	0021	5.000	실링재(sealing)	프리캐스트 콘크리트 제품 사이 또는 프리캐스트 콘크리트 제품과 인접한 재료사이의 접합부에 주로 방수를 위하여 채우는 재료의 총칭
Con-captions	Const	2024	0022	5.000	인서트(insert)	어떤 장치나 시설물을 연결하기 위하여 제품내부에 매설하는 부품
