filename	sentence
KCS4130022108.txt	콘크리트의 설계기준 압축강도는 공사시방서에 따른다.
KCS4130022108.txt	내구성을 필요로 할 경우의 강도, 워커빌리티, 배합 및 양생에 대하여는 공사시방서에 따르고, 책임기술자의 검토 및 확인 후 발주자 대리인의 승인을 받는다.
KCS4130022108.txt	바닥 콘크리트의 신축줄눈은 공사시방서에 따른다.
KCS4134022108.txt	벽돌, 기타 담당원이 필요하다고 인정하는 재료는 모두 반입 전에 견본품을 제출하여 담당원의 승인을 받아야 한다.
KCS4134022108.txt	벽돌, 기타의 재료로서 도면이나 공사시방서에 정해져 있거나 또는 담당원이 필요하다고 인정하는 것은 도면 또는 공사시방서에 따르거나 담당원이 지정하는 시험기관에서 재료시험을 하고, 그 성적서를 제출한다.
KCS4134022108.txt	각종 조적재 및 부속재에 대하여 시방사항에 합당한 것임을 증명하는 제조자의 확인서를 제시하되 취급, 저장, 설치 및 보양에 관한 내용이 포함된 것이어야 한다.
KCS4134022108.txt	공사착수 전에 설계도서에 기초하여 시공 상 필요한 벽돌 나누기 묻음 볼트 및 배관 등의 설치요령의 상세에 관한 시공도를 작성하여 담당원의 승인을 받는다.
KCS4134022108.txt	창문틀, 기타 개구부 갓둘레의 접합부 또는 벽돌조와 다른 구조부와의 연결부에 대하여 담당원의 승인을 받는다.
KCS4134022108.txt	기타 보강철물의 시공 위치, 시공 부위 상세 및 신축줄눈에 대해 시공도를 작성한다.
KCS4134022108.txt	조적재료들은 보관 시 깨끗하게 취급하며, 구조물 내부에 적치할 경우 하중이 집중되지 않게 분산하여 적치함으로써 구조적으로 안전하게 보관한다.
KCS4134022108.txt	조적재료들은 보관 시 깨끗하고 구조적으로 안전하게 적치되어야 한다.
KCS4134022108.txt	모든 금속 보강재는 녹슬지 않도록 해야 한다.
KCS4134022108.txt	콘크리트 조적체에서는 허가된 경우를 제외하고 젖어서는 안 된다.
KCS4134022108.txt	재료들은 불순물에 의한 품질 저하가 없고 이물질의 침입을 방지할 수 있도록 보관해야 한다.
KCS4134022108.txt	재료를 계량하는 방법은 각 재료의 비율을 적절히 조절할 수 있는 방법으로 한다.
KCS4134022108.txt	현장에서 원하는 시공연도를 얻을 수 있을 만큼의 물을 넣고 모르타르나 그라우트를 비비는 경우에 비빔기계 안에서의 비빔시간은 3분 미만이나 10분 이상이어서는 안 된다.
KCS4134022108.txt	모든 재료들은 사용 가능한 상태로 운반되어야 한다.
KCS4134022108.txt	의 사항에 의해서 부가적인 덮개가 필요한 경우는 예외로 한다.
KCS4134022108.txt	조적조의 모르타르 층에 눈이나 얼음이 생겼을 경우, 조적조의 상단이 건조하게 될 때까지 열을 조심스럽게 가해서 녹여야 한다.
KCS4134022108.txt	쌓을 때의 조적체는 반드시 건조상태이어야 한다.
KCS4134022108.txt	한중시공일 때의 보양은 다음 사항을 따른다.
KCS4134022108.txt	벽돌에 부착된 흙이나 먼지는 깨끗이 제거한다.
KCS4134022108.txt	모르타르는 배합과 보강 등에 필요한 자재의 품질 및 수량을 확인한다.
KCS4134022108.txt	벽돌공사를 하기 전에 바탕점검을 하고 구체 콘크리트에 필요한 정착철물의 정확한 배치, 정착철물이 콘크리트 구체에 견고하게 정착되었는지 여부 등 공사의 착수에 지장이 없는가를 확인한다.
KCS4134022108.txt	벽돌공사와 간섭이 발생될 수 있는 전기, 기계, 소방 배관 등의 위치를 사전에 확인하여 결손되는 부분을 최소화 되게 한다.
KCS4134022108.txt	벽돌쌓기는 도면 또는 공사시방서에서 정한 바가 없을 때에는 영식 쌓기 또는 화란식 쌓기로 한다.
KCS4134022108.txt	가로줄눈의 바탕 모르타르는 일정한 두께로 평평히 펴 바르고, 벽돌을 내리누르듯 규준틀과 벽돌나누기에 따라 정확히 쌓는다.
KCS4134022108.txt	세로줄눈의 모르타르는 벽돌 마구리면에 충분히 발라 쌓도록 한다.
KCS4134022108.txt	벽돌은 각부를 가급적 동일한 높이로 쌓아 올라가고, 벽면의 일부 또는 국부적으로 높게 쌓지 않는다.
KCS4134022108.txt	연속되는 벽면의 일부를 트이게 하여 나중쌓기로 할 때에는 그 부분을 층단 들여쌓기로 한다.
KCS4134022108.txt	직각형태 벽체의 한편을 나중에 쌓을 때에도 층단 들여쌓기로 하는 것을 원칙으로 하지만 부득이할 때에는 담당원의 승인을 받아 켜걸음 들여쌓기로 하거나 이음보강철물을 사용한다.
KCS4134022108.txt	벽돌벽이 블록벽과 서로 직각으로 만날 때에는 연결철물을 만들어 블록 3단마다 보강하여 쌓는다.
KCS4134022108.txt	종근은 기초까지 정착되도록 콘크리트 타설 전에 배근한다.
KCS4134022108.txt	벽체 부분의 철근은 굽어지면 안 된다.
KCS4134022108.txt	횡근은 횡근용 벽돌 내에 배근하고 종근과의 교차부를 결속선으로 긴결한다.
KCS4134022108.txt	벽돌쌓기는 줄눈바름면의 전체에 줄눈 모르타르가 고루 배부되도록 쌓는다.
KCS4134022108.txt	줄눈 모르타르는 공동 부분에 노출되지 않도록 한다.
KCS4134022108.txt	벽돌쌓기 시공 중 배수가 불가능한 벽돌공동 내에는 우수 등이 침입하지 않도록 양생한다.
KCS4134022108.txt	모르타르 및 콘크리트 충전에는 가는 환봉 등을 사용하여 밀실하게 한다.
KCS4134022108.txt	횡방향 줄눈 공동의 모르타르 및 콘크리트의 충전은 벽돌의 상단과 동일면 이상의 높이가 되도록 평평하게 한다.
KCS4134022108.txt	벽돌벽 공동부 내부에는 충전하기 전에 벽돌공동부 내부를 충분히 물축임하되, 바닥에 물이 고이지 않도록 한다.
KCS4134022108.txt	층고 충전공법의 벽돌쌓기는 충전 모르타르 및 콘크리트 타설 시의 측압에 견디도록 쌓는다.
KCS4134022108.txt	층고 충전공법의 청소구 및 점검구의 위치 및 크기는 담당원 및 책임기술자와 협의하여 결정한다.
KCS4134022108.txt	벽돌쌓기 시 낙하 및 노출된 모르타르는 신속히 제거한다.
KCS4134022108.txt	청소구 및 점검구는 충전하기 전에 모르타르 및 콘크리트가 누출되지 않도록 한다.
KCS4134022108.txt	벽돌벽 공동부 내부에는 충전하기 전에 벽돌공동부 내부를 충분히 물축임한다.
KCS4134022108.txt	공동부의 타설은 원칙적으로 반복하여 타설한다.
KCS4134022108.txt	콘크리트 봉형 진동기는 각 층마다 사용하고, 그 층의 하부에 선단이 도달하도록 수직으로 삽입한다.
KCS4134022108.txt	배근은 거푸집조립보다 먼저 한다.
KCS4134022108.txt	주 구조체와 장막벽의 긴결은 설계도서 혹은 시공도에 따른다.
KCS4134022108.txt	접합용 철근의 주 구조체에 대한 설치는 벽돌공사를 하기 전에 한다.
KCS4134022108.txt	금속 보강재의 위치는 도면과 시방서에 따른다.
KCS4134022108.txt	그라우트를 부어넣기 전에 보강재는 금속간격재나 그 밖에 적당한 도구를 이용하여 철근 직경의 200배를 넘지 않도록 긴결하여야 한다.
KCS4134022108.txt	벽체의 연결철물은 모든 홑겹벽을 충분히 연결할 수 있을 만큼 길이를 확보하여야 한다.
KCS4134022108.txt	길이 조정이 가능한 연결철물의 경우 다음 사항을 만족해야 한다.
KCS4134022108.txt	연결철물로 연결된 홑겹벽 사이가 그라우트나 모르타르로 채워져 있는 경우에는 허용응력설계법과 기타 조적조 구조설계 규정을 적용할 수 있다.
KCS4134022108.txt	두께, 높이와 연결철물 요구조건에 부합하는 것으로 본다.
KCS4134022108.txt	견고한 전기배관의 위치가 승인된 도면에 의해 상세 설계되어 있는 경우에는 구조용 조적조 내부에 매설할 수 있다.
KCS4134022108.txt	파이프나 배관은 허브나 연결장치가 충분히 통과할 수 있을 만큼의 슬리브를 설치하여 조적조를 수직 및 수평으로 관통할 수 있으며, 슬리브 사이 간격은 슬리브 직경의 3배 이상 떨어져 있어야 하며, 슬리브로 인해 구조물의 강도저하를 최소화해야 한다.
KCS4134022108.txt	벽돌쌓기 줄눈 모르타르는 벽돌의 접합면 전부에 빈틈없이 가득 차도록 한다.
KCS4134022108.txt	쌓은 직후 줄눈 모르타르가 굳기 전에 줄눈흙손으로 빈틈없이 줄눈 누르기를 한다.
KCS4134022108.txt	치장줄눈을 바를 경우에는 줄눈 모르타르가 굳기 전에 줄눈파기를 한다.
KCS4134022108.txt	시공중 접합부의 가로줄눈이 교차될 경우 줄눈 간의 거리는 철망 직경에 54배에 가로줄눈 간격의 두 배를 더한 것보다 작아야 한다.
KCS4134022108.txt	아치의 가설 형틀은 형상 및 치수를 정확하고 견고하게 짜서 설치하고 떼어내기에 편리하게 한다.
KCS4134022108.txt	아치쌓기는 그 축선에 따라 미리 벽돌 나누기를 하고, 아치의 어깨에서부터 좌우 대칭형으로 균등하게 쌓는다.
KCS4134022108.txt	아치를 쌓은 후에는 보행, 짐싣기 및 충격 등을 주지 않도록 하고 모르타르가 충분히 굳은 다음 그 윗벽을 쌓는다.
KCS4134022108.txt	환기구멍 및 층보 걸침 구멍 등의 작은 문꼴 윗부분에는 도면 또는 공사시방서에서 정한 바가 없더라도 담당원이 지시할 때에는 아치쌓기로 한다.
KCS4134022108.txt	공간쌓기는 도면 또는 공사시방서에 정한 바가 없을 때에는 바깥쪽을 주벽체로 하고 안쪽은 반장쌓기로 한다.
KCS4134022108.txt	안쌓기는 연결재를 사용하여 주 벽체에 튼튼히 연결한다.
KCS4134022108.txt	벽돌을 걸쳐대고 끝에는 이오토막 또는 칠오토막을 사용한다.
KCS4134022108.txt	공간쌓기를 할 때에는 모르타르가 공간에 떨어지지 않도록 주의하여 쌓는다.
KCS4134022108.txt	2개씩을 줄눈 위치에 박아 고정시킨다.
KCS4134022108.txt	가설 창문틀은 도면 또는 공사시방서에서 정하는 바에 따라 전 항에 준하여 설치하고, 벽돌을 쌓은 후 이 창문틀을 끼워대고 숨은 못 또는 연결물로 고정한다.
